NAME                                                                          VERSION                                      TYPE      
github.com/snapcore/go-gettext                                                v0.0.0-20191107141714-82bbea49e785           go-module  
github.com/snapcore/maze.io-x-crypto                                          v0.0.0-20190131090603-9b94c9afe066           go-module  
github.com/snapcore/secboot                                                   v0.0.0-20230228104443-f41f07c101e1           go-module  
github.com/snapcore/snapd                                                     (devel)                                      go-module  
github.com/spdx/tools-golang                                                  v0.5.1                                       go-module  
github.com/spf13/cobra                                                        v1.7.0                                       go-module  
github.com/spf13/cobra                                                        v1.8.0                                       go-module  
github.com/spf13/pflag                                                        v1.0.5                                       go-module  
github.com/stefanberger/go-pkcs11uri                                          v0.0.0-20201008174630-78d3cae3a980           go-module  
github.com/stretchr/testify                                                   v1.8.4                                       go-module  
github.com/syndtr/gocapability                                                v0.0.0-20200815063812-42c35b437635           go-module  
github.com/tchap/go-patricia                                                  v2.2.6+incompatible                          go-module  
github.com/theupdateframework/notary                                          v0.7.0                                       go-module  
github.com/tinylib/msgp                                                       v1.1.8                                       go-module  
github.com/tonistiigi/fsutil                                                  v0.0.0-20230629203738-36ef4d8c0dbb           go-module  
github.com/tonistiigi/go-actions-cache                                        v0.0.0-20220404170428-0bdeb6e1eac7           go-module  
github.com/tonistiigi/go-archvariant                                          v1.0.0                                       go-module  
github.com/tonistiigi/units                                                   v0.0.0-20180711220420-6950e57a87ea           go-module  
github.com/tonistiigi/vt100                                                   v0.0.0-20230623042737-f9a4f7ef6531           go-module  
github.com/urfave/cli                                                         v1.22.1                                      go-module  
github.com/vbatts/tar-split                                                   v0.11.5                                      go-module  
github.com/vishvananda/netlink                                                v1.1.0                                       go-module  
github.com/vishvananda/netlink                                                v1.1.1-0.20210330154013-f5de75959ad5         go-module  
github.com/vishvananda/netlink                                                v1.2.1-beta.2                                go-module  
github.com/vishvananda/netns                                                  v0.0.0-20191106174202-0a2b9b5464df           go-module  
github.com/vishvananda/netns                                                  v0.0.0-20210104183010-2eb08e3e575f           go-module  
github.com/vishvananda/netns                                                  v0.0.4                                       go-module  
github.com/weppos/publicsuffix-go                                             v0.15.1-0.20210511084619-b1f36a2d6c0b        go-module  
github.com/xeipuuv/gojsonpointer                                              v0.0.0-20190905194746-02993c407bfb           go-module  
github.com/xeipuuv/gojsonreference                                            v0.0.0-20180127040603-bd5ef7bd5415           go-module  
github.com/xeipuuv/gojsonschema                                               v1.2.0                                       go-module  
github.com/zclconf/go-cty                                                     v1.14.1                                      go-module  
github.com/zmap/zcrypto                                                       v0.0.0-20210511125630-18f1e0152cfc           go-module  
github.com/zmap/zlint/v3                                                      v3.1.0                                       go-module  
glob                                                                          10.2.7                                       npm        
glob                                                                          7.2.3                                        npm        
